iters,samples,run,position,chosen_char,correct_char,chosen_score_ns,second_char,second_score_ns,gap_ns,gap_ratio,was_correct,partial_guess
10000,1,7,6,a,P,105000,X,84800,20200,1.2382075471698113,false,r4nAC7a
10000,1,7,7,*,@,96100,&,88400,7700,1.08710407239819,false,r4nAC7a*
10000,1,7,8,7,s,103700,e,96100,7600,1.0790842872008324,false,r4nAC7a*7
10000,1,7,9,z,s,85100,y,82200,2900,1.035279805352798,false,r4nAC7a*7z
10000,1,8,0,r,r,25700,&,100,25600,257,true,r
10000,1,8,1,4,4,52000,0,30100,21900,1.7275747508305648,true,r4
10000,1,8,2,n,n,78800,A,64800,14000,1.2160493827160495,true,r4n
10000,1,8,3,t,d,105800,d,103000,2800,1.0271844660194174,false,r4nt
10000,1,8,4,!,o,83700,j,82600,1100,1.013317191283293,false,r4nt!
10000,1,8,5,P,m,94400,C,82600,11800,1.1428571428571428,false,r4nt!P
10000,1,8,6,h,P,117800,T,86200,31600,1.3665893271461718,false,r4nt!Ph
10000,1,8,7,@,@,86000,L,82200,3800,1.0462287104622872,true,r4nt!Ph@
10000,1,8,8,&,s,118300,r,88200,30100,1.3412698412698412,false,r4nt!Ph@&
10000,1,8,9,w,s,81700,j,81400,300,1.0036855036855037,false,r4nt!Ph@&w
10000,1,9,0,r,r,25800,b,100,25700,258,true,r
10000,1,9,1,4,4,51200,Q,31700,19500,1.615141955835962,true,r4
10000,1,9,2,n,n,76800,8,57800,19000,1.328719723183391,true,r4n
10000,1,9,3,d,d,102400,F,91400,11000,1.1203501094091903,true,r4nd
10000,1,9,4,o,o,128100,#,110600,17500,1.1582278481012658,true,r4ndo
10000,1,9,5,N,m,188000,m,154500,33500,1.2168284789644013,false,r4ndoN
10000,1,9,6,L,P,140300,T,137200,3100,1.022594752186589,false,r4ndoNL
10000,1,9,7,K,@,137100,R,134900,2200,1.016308376575241,false,r4ndoNLK
10000,1,9,8,I,s,138500,d,137100,1400,1.0102115244347192,false,r4ndoNLKI
10000,1,9,9,b,s,161000,3,151300,9700,1.0641110376734964,false,r4ndoNLKIb
10000,1,10,0,r,r,25600,b,100,25500,256,true,r
10000,1,10,1,4,4,61000,0,33400,27600,1.8263473053892216,true,r4
10000,1,10,2,n,n,76900,#,59300,17600,1.296795952782462,true,r4n
10000,1,10,3,S,d,108000,d,102400,5600,1.0546875,false,r4nS
10000,1,10,4,K,o,88100,0,81500,6600,1.0809815950920245,false,r4nSK
10000,1,10,5,&,m,92200,6,83500,8700,1.1041916167664672,false,r4nSK&
10000,1,10,6,I,P,112100,y,81900,30200,1.3687423687423688,false,r4nSK&I
10000,1,10,7,0,@,80800,$,80800,0,1,false,r4nSK&I0
10000,1,10,8,G,s,83000,g,82600,400,1.0048426150121066,false,r4nSK&I0G
10000,1,10,9,x,s,113700,!,87200,26500,1.3038990825688073,false,r4nSK&I0Gx
10000,1,11,0,r,r,25700,*,100,25600,257,true,r
10000,1,11,1,4,4,53600,1,37600,16000,1.425531914893617,true,r4
10000,1,11,2,n,n,76800,9,63300,13500,1.2132701421800949,true,r4n
10000,1,11,3,3,d,108000,d,102400,5600,1.0546875,false,r4n3
10000,1,11,4,J,o,83300,W,82300,1000,1.0121506682867558,false,r4n3J
10000,1,11,5,b,m,83400,o,82000,1400,1.0170731707317073,false,r4n3Jb
10000,1,11,6,T,P,117900,5,96200,21700,1.2255717255717256,false,r4n3JbT
10000,1,11,7,W,@,81400,9,79900,1500,1.018773466833542,false,r4n3JbTW
10000,1,11,8,o,s,86600,b,84500,2100,1.0248520710059172,false,r4n3JbTWo
10000,1,11,9,F,s,133000,&,88100,44900,1.5096481271282634,false,r4n3JbTWoF
10000,1,12,0,r,r,25700,%,100,25600,257,true,r
10000,1,12,1,4,4,51200,H,27200,24000,1.8823529411764706,true,r4
10000,1,12,2,n,n,77300,d,58100,19200,1.3304647160068848,true,r4n
10000,1,12,3,#,d,111600,d,103100,8500,1.0824442289039766,false,r4n#
10000,1,12,4,&,o,83200,i,82600,600,1.0072639225181599,false,r4n#&
10000,1,12,5,i,m,98500,a,98400,100,1.0010162601626016,false,r4n#&i
10000,1,12,6,W,P,106900,x,90400,16500,1.1825221238938053,false,r4n#&iW
10000,1,12,7,7,@,85000,^,84700,300,1.0035419126328218,false,r4n#&iW7
10000,1,12,8,u,s,84100,Z,82300,1800,1.0218712029161603,false,r4n#&iW7u
10000,1,12,9,M,s,132400,e,84900,47500,1.5594817432273262,false,r4n#&iW7uM
10000,1,13,0,r,r,25900,e,100,25800,259,true,r
10000,1,13,1,4,4,52200,#,28900,23300,1.806228373702422,true,r4
10000,1,13,2,n,n,77300,P,61900,15400,1.248788368336026,true,r4n
10000,1,13,3,^,d,122000,d,104700,17300,1.1652340019102196,false,r4n^
10000,1,13,4,i,o,83900,z,82700,1200,1.014510278113664,false,r4n^i
10000,1,13,5,@,m,87200,m,84200,3000,1.03562945368171,false,r4n^i@
10000,1,13,6,*,P,232000,3,100300,131700,2.313060817547358,false,r4n^i@*
10000,1,13,7,a,@,84900,h,83000,1900,1.0228915662650602,false,r4n^i@*a
10000,1,13,8,M,s,86600,S,82900,3700,1.0446320868516286,false,r4n^i@*aM
10000,1,13,9,U,s,146000,R,89500,56500,1.6312849162011174,false,r4n^i@*aMU
10000,1,14,0,r,r,25600,&,100,25500,256,true,r
10000,1,14,1,4,4,51600,U,29600,22000,1.7432432432432432,true,r4
10000,1,14,2,n,n,76900,1,66900,10000,1.149476831091181,true,r4n
10000,1,14,3,d,d,103900,K,83700,20200,1.2413381123058542,true,r4nd
10000,1,14,4,%,o,238500,c,139500,99000,1.7096774193548387,false,r4nd%
10000,1,14,5,o,m,113300,H,111200,2100,1.018884892086331,false,r4nd%o
10000,1,14,6,k,P,145700,6,114500,31200,1.2724890829694324,false,r4nd%ok
10000,1,14,7,^,@,109900,X,109900,0,1,false,r4nd%ok^
10000,1,14,8,u,s,148900,@,142900,6000,1.0419874037788663,false,r4nd%ok^u
10000,1,14,9,a,s,110100,2,107500,2600,1.024186046511628,false,r4nd%ok^ua
10000,1,15,0,r,r,25500,*,100,25400,255,true,r
10000,1,15,1,0,4,112200,4,51700,60500,2.1702127659574466,false,r0
10000,1,15,2,T,n,31400,$,30600,800,1.026143790849673,false,r0T
10000,1,15,3,S,d,32100,g,27500,4600,1.1672727272727272,false,r0TS
10000,1,15,4,h,o,33100,@,30500,2600,1.0852459016393443,false,r0TSh
10000,1,15,5,B,m,30700,j,30500,200,1.0065573770491802,false,r0TShB
10000,1,15,6,j,P,35600,c,32100,3500,1.1090342679127725,false,r0TShBj
10000,1,15,7,m,@,30300,Z,29300,1000,1.0341296928327646,false,r0TShBjm
10000,1,15,8,M,s,200400,p,27000,173400,7.4222222222222225,false,r0TShBjmM
10000,1,15,9,U,s,72900,B,29900,43000,2.4381270903010033,false,r0TShBjmMU
10000,1,16,0,r,r,25800,b,100,25700,258,true,r
10000,1,16,1,4,4,51600,V,31000,20600,1.664516129032258,true,r4
10000,1,16,2,n,n,78700,o,60800,17900,1.294407894736842,true,r4n
10000,1,16,3,d,d,103000,&,83600,19400,1.2320574162679425,true,r4nd
10000,1,16,4,p,o,141700,o,128100,13600,1.106167056986729,false,r4ndp
10000,1,16,5,u,m,110900,g,107400,3500,1.0325884543761639,false,r4ndpu
10000,1,16,6,A,P,126200,T,113300,12900,1.1138570167696382,false,r4ndpuA
10000,1,16,7,X,@,115800,i,114800,1000,1.0087108013937283,false,r4ndpuAX
10000,1,16,8,J,s,144100,S,118100,26000,1.2201524132091448,false,r4ndpuAXJ
10000,1,16,9,7,s,109200,u,108500,700,1.0064516129032257,false,r4ndpuAXJ7
10000,1,17,0,r,r,25800,e,100,25700,258,true,r
10000,1,17,1,4,4,58200,J,38200,20000,1.5235602094240839,true,r4
10000,1,17,2,o,n,126100,n,78600,47500,1.604325699745547,false,r4o
10000,1,17,3,p,d,57600,I,57000,600,1.0105263157894737,false,r4op
10000,1,17,4,0,o,56300,5,55800,500,1.0089605734767024,false,r4op0
10000,1,17,5,y,m,59600,s,57200,2400,1.0419580419580419,false,r4op0y
10000,1,17,6,B,P,61400,U,59400,2000,1.0336700336700337,false,r4op0yB
10000,1,17,7,g,@,68500,k,67700,800,1.0118168389955686,false,r4op0yBg
10000,1,17,8,p,s,57300,*,56700,600,1.0105820105820107,false,r4op0yBgp
10000,1,17,9,t,s,58800,M,55600,3200,1.0575539568345325,false,r4op0yBgpt
10000,1,18,0,r,r,25800,b,100,25700,258,true,r
10000,1,18,1,n,4,55700,4,51500,4200,1.0815533980582523,false,rn
10000,1,18,2,Z,n,31500,a,28500,3000,1.105263157894737,false,rnZ
10000,1,18,3,p,d,30600,f,28900,1700,1.0588235294117647,false,rnZp
10000,1,18,4,r,o,32200,3,32100,100,1.0031152647975077,false,rnZpr
10000,1,18,5,D,m,177900,@,54800,123100,3.2463503649635035,false,rnZprD
10000,1,18,6,$,P,77500,^,34800,42700,2.2270114942528734,false,rnZprD$
10000,1,18,7,m,@,60700,l,50200,10500,1.2091633466135459,false,rnZprD$m
10000,1,18,8,*,s,92200,E,27800,64400,3.316546762589928,false,rnZprD$m*
10000,1,18,9,A,s,34000,Z,28800,5200,1.1805555555555556,false,rnZprD$m*A
10000,1,19,0,r,r,26200,a,200,26000,131,true,r
10000,1,19,1,H,4,106600,w,54400,52200,1.9595588235294117,false,rH
10000,1,19,2,e,n,36800,P,33200,3600,1.108433734939759,false,rHe
10000,1,19,3,P,d,43400,^,29700,13700,1.4612794612794613,false,rHeP
10000,1,19,4,E,o,30000,&,28700,1300,1.0452961672473868,false,rHePE
10000,1,19,5,M,m,42400,f,34600,7800,1.2254335260115607,false,rHePEM
10000,1,19,6,J,P,30400,z,29200,1200,1.0410958904109588,false,rHePEMJ
10000,1,19,7,6,@,29900,5,28600,1300,1.0454545454545454,false,rHePEMJ6
10000,1,19,8,&,s,31500,E,31500,0,1,false,rHePEMJ6&
10000,1,19,9,F,s,34100,*,29000,5100,1.1758620689655173,false,rHePEMJ6&F
10000,1,20,0,r,r,25900,$,100,25800,259,true,r
10000,1,20,1,4,4,51800,a,29300,22500,1.7679180887372015,true,r4
10000,1,20,2,n,n,77800,I,55700,22100,1.3967684021543985,true,r4n
10000,1,20,3,d,d,103000,y,82600,20400,1.2469733656174333,true,r4nd
10000,1,20,4,1,o,232700,%,228000,4700,1.0206140350877193,false,r4nd1
10000,1,20,5,y,m,211200,r,114500,96700,1.8445414847161572,false,r4nd1y
10000,1,20,6,E,P,124200,l,115400,8800,1.076256499133449,false,r4nd1yE
10000,1,20,7,y,@,196100,z,116500,79600,1.6832618025751074,false,r4nd1yEy
10000,1,20,8,C,s,115000,j,113900,1100,1.009657594381036,false,r4nd1yEyC
10000,1,20,9,H,s,154500,Q,111800,42700,1.381932021466905,false,r4nd1yEyCH
10000,1,21,0,r,r,27600,a,100,27500,276,true,r
10000,1,21,1,4,4,51300,j,34800,16500,1.4741379310344827,true,r4
10000,1,21,2,n,n,76900,o,62700,14200,1.226475279106858,true,r4n
10000,1,21,3,d,d,103600,X,83000,20600,1.2481927710843375,true,r4nd
10000,1,21,4,o,o,128800,O,115200,13600,1.1180555555555556,true,r4ndo
10000,1,21,5,m,m,161100,Q,138200,22900,1.1657018813314037,true,r4ndom
10000,1,21,6,J,P,199300,K,193200,6100,1.0315734989648033,false,r4ndomJ
10000,1,21,7,o,@,190600,N,183000,7600,1.0415300546448087,false,r4ndomJo
10000,1,21,8,#,s,181400,g,163200,18200,1.1115196078431373,false,r4ndomJo#
10000,1,21,9,M,s,166400,m,165800,600,1.0036188178528347,false,r4ndomJo#M
10000,1,22,0,r,r,25700,a,200,25500,128.5,true,r
10000,1,22,1,4,4,51300,C,39100,12200,1.3120204603580563,true,r4
10000,1,22,2,n,n,82500,F,60000,22500,1.375,true,r4n
10000,1,22,3,d,d,102400,K,82600,19800,1.2397094430992737,true,r4nd
10000,1,22,4,E,o,132400,o,128000,4400,1.034375,false,r4ndE
10000,1,22,5,3,m,128100,8,128100,0,1,false,r4ndE3
10000,1,22,6,L,P,152100,i,131200,20900,1.1592987804878048,false,r4ndE3L
10000,1,22,7,8,@,123500,1,122400,1100,1.0089869281045751,false,r4ndE3L8
10000,1,22,8,T,s,132300,h,131800,500,1.0037936267071321,false,r4ndE3L8T
10000,1,22,9,Z,s,125900,F,112500,13400,1.1191111111111112,false,r4ndE3L8TZ
10000,1,23,0,r,r,26400,b,100,26300,264,true,r
10000,1,23,1,4,4,53200,z,30500,22700,1.7442622950819673,true,r4
10000,1,23,2,n,n,76900,F,59700,17200,1.288107202680067,true,r4n
10000,1,23,3,d,d,103100,7,87200,15900,1.1823394495412844,true,r4nd
10000,1,23,4,o,o,128100,V,123800,4300,1.0347334410339257,true,r4ndo
10000,1,23,5,d,m,170600,m,153700,16900,1.1099544567338973,false,r4ndod
10000,1,23,6,W,P,156800,1,154200,2600,1.0168612191958495,false,r4ndodW
10000,1,23,7,X,@,153000,T,152900,100,1.0006540222367561,false,r4ndodWX
10000,1,23,8,9,s,226400,G,166200,60200,1.362214199759326,false,r4ndodWX9
10000,1,23,9,d,s,152400,f,136600,15800,1.115666178623719,false,r4ndodWX9d
10000,1,24,0,r,r,26100,a,200,25900,130.5,true,r
10000,1,24,1,4,4,53500,D,32100,21400,1.6666666666666667,true,r4
10000,1,24,2,n,n,77300,3,59200,18100,1.3057432432432432,true,r4n
10000,1,24,3,d,d,128800,h,98900,29900,1.302325581395349,true,r4nd
10000,1,24,4,z,o,170000,9,129300,40700,1.3147718484145399,false,r4ndz
10000,1,24,5,h,m,131700,c,125900,5800,1.0460683081810962,false,r4ndzh
10000,1,24,6,E,P,172200,5,123400,48800,1.3954619124797407,false,r4ndzhE
10000,1,24,7,1,@,109800,y,108200,1600,1.0147874306839186,false,r4ndzhE1
10000,1,24,8,L,s,145700,b,129300,16400,1.1268368136117557,false,r4ndzhE1L
10000,1,24,9,1,s,128100,2,118400,9700,1.0819256756756757,false,r4ndzhE1L1
10000,1,25,0,r,r,25700,*,100,25600,257,true,r
10000,1,25,1,4,4,51200,h,26800,24400,1.9104477611940298,true,r4
10000,1,25,2,n,n,76900,e,55100,21800,1.3956442831215972,true,r4n
10000,1,25,3,d,d,102400,s,98100,4300,1.0438328236493375,true,r4nd
10000,1,25,4,o,o,132200,r,127400,4800,1.0376766091051806,true,r4ndo
10000,1,25,5,V,m,163500,U,160000,3500,1.021875,false,r4ndoV
10000,1,25,6,H,P,165600,#,151400,14200,1.0937912813738442,false,r4ndoVH
10000,1,25,7,t,@,159900,x,159900,0,1,false,r4ndoVHt
10000,1,25,8,e,s,160900,l,160900,0,1,false,r4ndoVHte
10000,1,25,9,0,s,154300,U,153700,600,1.0039037085230968,false,r4ndoVHte0
10000,1,26,0,r,r,25500,&,100,25400,255,true,r
10000,1,26,1,4,4,51000,D,27400,23600,1.8613138686131387,true,r4
10000,1,26,2,n,n,78100,0,59100,19000,1.3214890016920473,true,r4n
10000,1,26,3,d,d,110000,l,82000,28000,1.3414634146341464,true,r4nd
10000,1,26,4,l,o,133900,o,128000,5900,1.04609375,false,r4ndl
10000,1,26,5,f,m,128600,e,125200,3400,1.0271565495207668,false,r4ndlf
10000,1,26,6,u,P,149300,6,132700,16600,1.1250941974378297,false,r4ndlfu
10000,1,26,7,3,@,241700,&,241300,400,1.0016576875259013,false,r4ndlfu3
10000,1,26,8,y,s,145800,1,126200,19600,1.1553090332805072,false,r4ndlfu3y
10000,1,26,9,d,s,127700,a,127300,400,1.0031421838177534,false,r4ndlfu3yd
10000,1,27,0,r,r,25700,^,100,25600,257,true,r
10000,1,27,1,#,4,101000,4,51200,49800,1.97265625,false,r#
10000,1,27,2,@,n,30900,z,26800,4100,1.1529850746268657,false,r#@
10000,1,27,3,B,d,31800,$,27700,4100,1.148014440433213,false,r#@B
10000,1,27,4,D,o,31700,m,30100,1600,1.053156146179402,false,r#@BD
10000,1,27,5,p,m,30000,G,29200,800,1.0273972602739727,false,r#@BDp
10000,1,27,6,0,P,28900,p,28000,900,1.0321428571428573,false,r#@BDp0
10000,1,27,7,v,@,30300,K,30300,0,1,false,r#@BDp0v
10000,1,27,8,N,s,42000,w,28300,13700,1.4840989399293287,false,r#@BDp0vN
10000,1,27,9,d,s,31000,#,27900,3100,1.1111111111111112,false,r#@BDp0vNd
10000,1,28,0,r,r,25700,b,100,25600,257,true,r
10000,1,28,1,4,4,52700,U,36300,16400,1.4517906336088153,true,r4
10000,1,28,2,n,n,78900,d,75900,3000,1.0395256916996047,true,r4n
10000,1,28,3,d,d,107300,3,101100,6200,1.0613254203758655,true,r4nd
10000,1,28,4,y,o,234100,b,130400,103700,1.7952453987730062,false,r4ndy
10000,1,28,5,5,m,117400,2,110200,7200,1.0653357531760435,false,r4ndy5
10000,1,28,6,G,P,137300,e,131100,6200,1.0472921434019833,false,r4ndy5G
10000,1,28,7,5,@,134500,7,128100,6400,1.049960967993755,false,r4ndy5G5
10000,1,28,8,6,s,110000,0,108400,1600,1.014760147601476,false,r4ndy5G56
10000,1,28,9,e,s,126100,c,125900,200,1.0015885623510723,false,r4ndy5G56e
10000,1,29,0,r,r,25600,G,100,25500,256,true,r
10000,1,29,1,4,4,51200,X,28800,22400,1.7777777777777777,true,r4
10000,1,29,2,n,n,76400,G,57400,19000,1.3310104529616724,true,r4n
10000,1,29,3,d,d,102500,!,83300,19200,1.2304921968787514,true,r4nd
10000,1,29,4,o,o,130900,Y,122400,8500,1.0694444444444444,true,r4ndo
10000,1,29,5,e,m,168000,g,160100,7900,1.0493441599000624,false,r4ndoe
10000,1,29,6,1,P,169000,2,160100,8900,1.0555902560899437,false,r4ndoe1
10000,1,29,7,Q,@,153000,R,152900,100,1.0006540222367561,false,r4ndoe1Q
10000,1,29,8,b,s,158700,f,157900,800,1.0050664977834072,false,r4ndoe1Qb
10000,1,29,9,7,s,260100,X,236800,23300,1.0983952702702702,false,r4ndoe1Qb7
10000,1,30,0,r,r,25700,b,100,25600,257,true,r
10000,1,30,1,4,4,51200,O,29600,21600,1.7297297297297298,true,r4
10000,1,30,2,n,n,76400,y,73700,2700,1.0366350067842605,true,r4n
10000,1,30,3,d,d,102500,C,82200,20300,1.2469586374695865,true,r4nd
10000,1,30,4,L,o,127600,o,127300,300,1.002356637863315,false,r4ndL
10000,1,30,5,c,m,129700,a,129400,300,1.0023183925811436,false,r4ndLc
10000,1,30,6,T,P,129900,3,110400,19500,1.1766304347826086,false,r4ndLcT
10000,1,30,7,c,@,132400,b,119000,13400,1.1126050420168068,false,r4ndLcTc
10000,1,30,8,3,s,158700,f,127100,31600,1.2486231313926042,false,r4ndLcTc3
10000,1,30,9,8,s,122400,!,122400,0,1,false,r4ndLcTc38
10000,1,31,0,r,r,25700,*,100,25600,257,true,r
10000,1,31,1,4,4,51300,F,32500,18800,1.5784615384615384,true,r4
10000,1,31,2,1,n,108600,n,76900,31700,1.41222366710013,false,r41
10000,1,31,3,K,d,56400,o,56100,300,1.0053475935828877,false,r41K
10000,1,31,4,t,o,56200,d,56100,100,1.0017825311942958,false,r41Kt
10000,1,31,5,g,m,65700,#,61900,3800,1.061389337641357,false,r41Ktg
10000,1,31,6,*,P,89000,X,61000,28000,1.459016393442623,false,r41Ktg*
10000,1,31,7,H,@,56600,1,55300,1300,1.0235081374321882,false,r41Ktg*H
10000,1,31,8,M,s,58500,3,53900,4600,1.085343228200371,false,r41Ktg*HM
10000,1,31,9,c,s,63700,d,63700,0,1,false,r41Ktg*HMc
10000,1,32,0,r,r,25500,&,100,25400,255,true,r
10000,1,32,1,4,4,51900,p,29800,22100,1.7416107382550337,true,r4
10000,1,32,2,j,n,89800,n,78500,11300,1.1439490445859872,false,r4j
10000,1,32,3,g,d,64400,c,64100,300,1.0046801872074882,false,r4jg
10000,1,32,4,X,o,60200,F,59500,700,1.011764705882353,false,r4jgX
10000,1,32,5,H,m,65800,o,61200,4600,1.0751633986928104,false,r4jgXH
10000,1,32,6,b,P,61200,d,61200,0,1,false,r4jgXHb
10000,1,32,7,b,@,66500,c,58800,7700,1.130952380952381,false,r4jgXHbb
10000,1,32,8,g,s,57700,A,57400,300,1.005226480836237,false,r4jgXHbbg
10000,1,32,9,j,s,65400,a,61300,4100,1.066884176182708,false,r4jgXHbbgj
10000,1,33,0,r,r,25700,&,100,25600,257,true,r
10000,1,33,1,4,4,51300,I,32400,18900,1.5833333333333333,true,r4
10000,1,33,2,n,n,78200,H,63100,15100,1.2393026941362917,true,r4n
10000,1,33,3,d,d,102500,!,93400,9100,1.0974304068522485,true,r4nd
10000,1,33,4,M,o,142400,c,134000,8400,1.0626865671641792,false,r4ndM
10000,1,33,5,2,m,123200,4,122400,800,1.0065359477124183,false,r4ndM2
10000,1,33,6,X,P,133000,k,120800,12200,1.1009933774834437,false,r4ndM2X
10000,1,33,7,0,@,140300,7,136500,3800,1.0278388278388277,false,r4ndM2X0
10000,1,33,8,3,s,128200,A,110300,17900,1.1622846781504987,false,r4ndM2X03
10000,1,33,9,9,s,124600,Z,111900,12700,1.1134941912421805,false,r4ndM2X039
10000,1,34,0,r,r,25700,a,100,25600,257,true,r
10000,1,34,1,4,4,51300,L,31000,20300,1.6548387096774193,true,r4
10000,1,34,2,n,n,91800,2,85400,6400,1.0749414519906324,true,r4n
10000,1,34,3,d,d,104900,^,82300,22600,1.2746051032806804,true,r4nd
10000,1,34,4,o,o,132300,8,129400,2900,1.0224111282843895,true,r4ndo
10000,1,34,5,f,m,189100,m,164800,24300,1.1474514563106797,false,r4ndof
10000,1,34,6,6,P,287400,W,253000,34400,1.1359683794466404,false,r4ndof6
10000,1,34,7,W,@,153900,X,153300,600,1.0039138943248533,false,r4ndof6W
10000,1,34,8,y,s,176000,1,154700,21300,1.1376858435681965,false,r4ndof6Wy
10000,1,34,9,x,s,135700,9,135500,200,1.0014760147601476,false,r4ndof6Wyx
10000,1,35,0,r,r,25700,a,100,25600,257,true,r
10000,1,35,1,4,4,51300,v,30900,20400,1.6601941747572815,true,r4
10000,1,35,2,n,n,86900,A,71700,15200,1.2119944211994422,true,r4n
10000,1,35,3,d,d,102400,u,83300,19100,1.2292917166866746,true,r4nd
10000,1,35,4,%,o,134900,o,127300,7600,1.0597014925373134,false,r4nd%
10000,1,35,5,0,m,110500,3,110200,300,1.0027223230490019,false,r4nd%0
