iters,samples,run,guessed_password,success,runtime_ns,avg_gap_ns,avg_gap_ratio
1000,101,19,r4ndomP@ss,true,820988400,1777.2,9.895879192308684
1000,101,20,r4ndoma1qm,false,713643900,1597.4,8.280100308849288
500,101,1,r4ndomP@0m,false,407477600,542,5.528729132943322
500,101,2,r4ndomP@^j,false,404200800,736.2,5.269870227353353
500,101,3,r4ndomasaA,false,359736600,693.2,5.549910664997112
500,101,4,r4ndor0xBf,false,323780500,581.7,5.5575621272473406
500,101,5,r4ndoaIHMn,false,326103100,594.7,5.545445755567911
500,101,6,r4ndoaaSq%,false,321472400,635.4,3.689203529989441
500,101,7,r4ndokJxLc,false,318287100,596.6,4.871075372870636
500,101,8,r4ndomHyGw,false,353496600,640.3,5.567085664891224
500,101,9,r4ndomOaa6,false,354142600,706.2,4.681670100859111
500,101,10,r4ndaaaFaa,false,275298800,672.5,5.912858458083467
500,101,11,r4ndoe07iq,false,318034500,549.2,5.5550654323843975
500,101,12,r4ndoaeu6a,false,319689000,669.1,5.55553440246157
500,101,13,r4ndoexXDa,false,318595600,623.6,5.221206581018103
500,101,14,r4ndomP@sa,false,407780300,688.1,5.220827829228389
500,101,15,r4ndomP@ve,false,397743300,718.9,5.569693019626524
500,101,16,r4ndomP@ss,true,405494300,741.2,5.540159814022747
500,101,17,r4ndomPRcN,false,379266100,722.9,5.562175066585365
500,101,18,r4ndomP@aI,false,396597000,921.2,4.2003421129995315
500,101,19,r4ndomPamD,false,380551500,713,5.55450173301981
500,101,20,r4ndlSaCsM,false,280292300,696.9,5.578159283435416
50,101,1,r4ndoYdA3p,false,31403800,50.9,1.5004730299120672
50,101,2,r4ndomPa4!,false,35737700,51.9,1.4950215253856904
50,101,3,r4ndomP@ss,true,37817400,66.8,1.4594047532809817
50,101,4,r4ndomP@sb,false,37952200,45.3,1.4436971107015228
50,101,5,r4ndomPoea,false,35929100,48.3,1.4438798332579348
50,101,6,r4ndoaJ6Mb,false,31403800,40.7,1.4886708737383854
50,101,7,r4ndomafaT,false,34402800,41,1.4650304474258549
50,101,8,r4ndomPga@,false,36047000,53.5,1.4813803655199544
50,101,9,r4ndomPaa!,false,35971700,37.7,1.3878496982027422
50,101,10,r4nWwycG$#,false,24831000,25,1.4245386781820593
50,101,11,r4n!e6jglu,false,25693500,39.6,1.3675195518138605
50,101,12,r4nn3S4chl,false,24278300,29.8,1.4060805307715618
50,101,13,r4ndomPak6,false,35925400,54.2,1.4803400905430961
50,101,14,r4naadbIln,false,36663700,51,1.4795255966359941
50,101,15,r4nd%Ia1c1,false,28819500,41.5,1.380204848908979
50,101,16,r4ndoegaDE,false,31444800,35.6,1.4221751269017633
50,101,17,r4ndomh7aK,false,34013300,36.9,1.419848674426475
50,101,18,r4ndvxaB%J,false,28117500,43,1.430622033085982
50,101,19,r4ndomayfr,false,34737900,56.2,1.4298592648930344
50,101,20,r4ndomaqg^,false,34826400,39.1,1.3548871498286015
20,101,1,r4ndoa7CGa,false,14614900,15.5,1.262971211899893
20,101,2,r4ndTK!fZZ,false,13557400,8.6,1.1841548009952576
20,101,3,rxF%N3457$,false,9149100,6.4,1.1837925696594427
20,101,4,r4ndoKGGGK,false,14477600,14.7,1.2133352783533202
20,101,5,r4nddwd7H1,false,14138100,9.6,1.1966405296703382
20,101,6,rxaglqaEPV,false,9077100,7.9,1.1750508215289117
20,101,7,r4ndoGCKiK,false,15153200,10.5,1.1930625127389833
20,101,8,rovaqAY2T3,false,9081400,6.1,1.1668906810035842
20,101,9,rfjnow5a&K,false,9332400,7.7,1.189690288503187
20,101,10,r4ndoWaMYa,false,14825400,14.9,1.191786069759098
20,101,11,r39#A!WXm*,false,9156500,7,1.1611008339206013
20,101,12,r4ndoReKKK,false,15264900,14.5,1.2317118551661905
20,101,13,rAJtw$pRf*,false,9105000,4.8,1.109249471458774
20,101,14,r4ndoaaBMX,false,14689900,9.8,1.1250286195286194
20,101,15,rMX4Gdcydm,false,9047900,6,1.1555485284096663
20,101,16,rdabqioJff,false,9159800,6.1,1.1500254252511435
20,101,17,r4ndoaaeoD,false,14568600,12.3,1.1700720292975846
20,101,18,rg$b*BLSZ3,false,9164400,6,1.142385360742746
20,101,19,r4ndoaVaac,false,14864100,9.1,1.1796068841329634
20,101,20,r4ndoaaTa6,false,14621700,13.8,1.1636896055262596
1,101,1,auD!dp3EiB,false,6908600,1.2,1.0344693958664546
1,101,2,RbEcbwRkn7,false,7297100,1.8,1.051554563613387
1,101,3,ntNLQP1qn*,false,7200000,1.7,1.047946135932379
1,101,4,rcNQeXyfBp,false,8228100,3.2,1.0774885580767932
1,101,5,tS0^orFr@A,false,7647300,7,1.1815228841479395
1,101,6,gAalTfeNM6,false,7613400,4.5,1.1178080313856174
1,101,7,ZsbON!E*oQ,false,7842000,4,1.105183602671087
1,101,8,#P%^ryTiIa,false,11537200,5,1.123748386395445
1,101,9,tUH1GGNpWf,false,7591800,1.9,1.0483588153561816
1,101,10,AP#zubYdWh,false,7218800,2.3,1.0554081632653058
1,101,11,cB54h90nke,false,7072700,7.5,1.179983660130719
1,101,12,v7Y@Cpnmnf,false,7107200,1,1.0266723737311971
1,101,13,k3teQmmyAc,false,6804400,1.4,1.0396691306795671
1,101,14,Y*jeY%O*av,false,6840500,1.3,1.0358306080910444
1,101,15,J@u7usVfpX,false,7065300,2.6,1.0778841885790784
1,101,16,rpV^19&qGY,false,6801500,3.3,1.0866313225041877
1,101,17,zoVt*C^ez*,false,6981700,3.3,1.0922751113365685
1,101,18,eJMvyHHOPS,false,6968200,1.7,1.0491369047619048
1,101,19,F*eI^myzkc,false,6793900,1.2,1.0305128205128207
1,101,20,FI6*ZgdK&j,false,7043500,5.2,1.1143881208397335
